name,type,start_time,duration,"error","data","ack","address","read"
"I2C","address",400.455827063,0.000086438,,,false,0x6A,false
"I2C","stop",400.455923937,0.000000063,,,,,
"I2C","start",400.455928687,0.000000063,,,,,
"I2C","address",400.455938937,0.0000865,,,false,0x6A,false
"I2C","stop",400.456035875,0.000000063,,,,,
"I2C","start",400.456040625,0.000000062,,,,,
"I2C","address",400.456050812,0.0000865,,,false,0x6A,false
"I2C","stop",400.45614775,0.000000062,,,,,
"I2C","start",400.4561525,0.000000063,,,,,
"I2C","address",400.456162688,0.0000865,,,false,0x6A,false
"I2C","stop",400.456259625,0.000000063,,,,,
"I2C","start",400.456264625,0.000000062,,,,,
"I2C","address",400.456274812,0.0000865,,,true,0x09,false
"I2C","data",400.4563665,0.0000865,,0x32,true,,
"I2C","data",400.45645825,0.0000865,,0x02,true,,
"I2C","data",400.456549937,0.0000865,,0x80,true,,
"I2C","stop",400.456646875,0.000000063,,,,,
"I2C","start",400.456651625,0.000000063,,,,,
"I2C","address",400.456661812,0.0000865,,,true,0x09,false
"I2C","data",400.456753563,0.000086438,,0x3F,true,,
"I2C","data",400.45684525,0.0000865,,0x00,true,,
"I2C","data",400.456936938,0.0000865,,0x00,true,,
"I2C","stop",400.457033875,0.000000063,,,,,
"I2C","start",400.457038625,0.000000063,,,,,
"I2C","address",400.457048875,0.000086438,,,true,0x09,false
"I2C","data",400.457140563,0.0000865,,0x14,true,,
"I2C","data",400.45723225,0.0000865,,0x00,true,,
"I2C","data",400.457323938,0.0000865,,0x00,true,,
"I2C","stop",400.457420875,0.000000062,,,,,
"I2C","start",400.457427063,0.000000062,,,,,
"I2C","address",400.45743725,0.0000865,,,true,0x09,false
"I2C","data",400.457529,0.000086437,,0x3B,true,,
"I2C","data",400.457620688,0.0000865,,0x40,true,,
"I2C","data",400.457712375,0.0000865,,0x02,true,,
"I2C","stop",400.457809312,0.000000063,,,,,
"I2C","start",400.457814063,0.000000063,,,,,
"I2C","address",400.457824313,0.000086437,,,true,0x09,false
"I2C","data",400.457916,0.0000865,,0x3C,true,,
"I2C","data",400.458007688,0.0000865,,0x00,true,,
"I2C","data",400.458099375,0.0000865,,0x1E,true,,
"I2C","stop",400.458196312,0.000000063,,,,,
"I2C","start",400.458202,0.000000062,,,,,
"I2C","address",400.45821225,0.000086438,,,true,0x0B,false
"I2C","data",400.458303937,0.00017875,,0xD5,true,,
"I2C","start",400.458492875,0.000000063,,,,,
"I2C","address",400.458503062,0.0000865,,,true,0x0B,true
"I2C","data",400.458688,0.0000865,,0x00,true,,
